url,name,header,beds,bedrooms,date_range,price,rating
/rooms/848454289694032688?adults=4&category_tag=Tag%3A5348&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1608141682&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746606_7wKh8wqTx5vZVS3C&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Saleh's Cottage Saleh Cottage,Cabin in Samha,Saleh's Cottage Saleh Cottage,"6 beds,  · 2 bedrooms",Nov 12 – 17,$266,
/rooms/909897785656634809?adults=4&category_tag=Tag%3A8099&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1674004561&check_in=2024-05-01&check_out=2024-05-06&source_impression_id=p3_1699746606_RrdWFZWL1d6dC4a%2F&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Cypress cottage,Hut in Tabab,Cypress cottage,"3 beds,  · 2 bedrooms",May 1 – 6,"$1,066",
/rooms/998608123216787130?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1767592071&check_in=2023-12-15&check_out=2023-12-20&source_impression_id=p3_1699746606_Xcgrrb7RTphQG4ch&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Qishla,Apartment in Riyadh,Qishla,"2 beds,  · 2 bedrooms",Dec 15 – 20,$162,5.0 (3)
/rooms/53641292?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1298547232&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746606_4XYjbeaySusQp6yz&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Exhibitor NeighborhoodThe Green (Self-entry),Chalet in Riyadh,Exhibitor NeighborhoodThe Green (Self-entry),Verified fast wifi,Nov 12 – 17,$205,4.86 (177)
/rooms/674270986363639521?adults=4&category_tag=Tag%3A8528&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1454677485&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746606_kLnyiseIZWculDZR&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Mabaat -  Al Narjis - 424,Apartment in Riyadh,Mabaat -  Al Narjis - 424,"3 beds,  · 2 bedrooms",Nov 12 – 17,$244,4.28 (40)
/rooms/1009270121362192039?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1768328722&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746606_bjEYZWQ97S2Yf9M%2F&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,VIP Apartment Al Aqeeq District,Apartment in Riyadh,VIP Apartment Al Aqeeq District,"3 beds,  · 2 bedrooms",Nov 12 – 17,$155,New
/rooms/34653121?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=752884710&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746606_dvXqUoWBsJ7ZDfq7&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,"Riyadh Inn ""Meet your expectations""",Chalet in Riyadh,"Riyadh Inn ""Meet your expectations""","3 beds,  · 2 bedrooms",Nov 12 – 17,,4.5 (36)
/rooms/783391175200049292?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1547804228&check_in=2023-11-24&check_out=2023-11-29&source_impression_id=p3_1699746606_BoO7WwAgvJ4CvBuY&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Almajdieh Apt. 4 | Self Check-In,Apartment in Riyadh,Almajdieh Apt. 4 | Self Check-In,"2 beds,  · 2 bedrooms",Nov 24 – 29,$176,4.93 (67)
/rooms/997856888604237041?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1769514649&check_in=2023-11-24&check_out=2023-11-29&source_impression_id=p3_1699746606_1Zs5tfwCItgYBHUW&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Amazon apartment 07,Apartment in Riyadh,Amazon apartment 07,"3 beds,  · 3 bedrooms",Nov 24 – 29,$298,New
/rooms/882171987480776890?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1641590439&check_in=2023-12-01&check_out=2023-12-06&source_impression_id=p3_1699746606_e4q1dWVN1RuZxVRk&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Luxury Apartment 2 Rooms Lounge,Apartment in Riyadh,Luxury Apartment 2 Rooms Lounge,"3 beds,  · 2 bedrooms",Dec 1 – 6,$105,4.88 (33)
/rooms/999428948523592936?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1758600083&check_in=2023-11-21&check_out=2023-11-26&source_impression_id=p3_1699746606_BvZL%2FeQgFLxzwzc6&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Cozy Townhouse in Al-Aqiq,Townhouse in Riyadh,Cozy Townhouse in Al-Aqiq,Dedicated workspace,Nov 21 – 26,$400,5.0 (3)
/rooms/754420393171677754?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1680019090&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746606_ytaf9LSdan%2FZyQlY&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Stylish chalet with pool and outdoor BBQ by the beach,Tiny home in Makkah Province,Stylish chalet with pool and outdoor BBQ by the beach,Dedicated workspace,Nov 12 – 17,$182,4.85 (13)
/rooms/981183767276639009?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1740747520&check_in=2023-11-13&check_out=2023-11-18&source_impression_id=p3_1699746606_C4%2BKt40BOexa4BJ%2B&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Soul Island,Cabin in Taif,Soul Island,"3 beds,  · 2 bedrooms",Nov 13 – 18,$485,New
/rooms/597968710427619995?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1389565276&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746606_D6P0kBBwPfBKGIaE&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Luxury flat with modern furniture,Apartment in Riyadh,Luxury flat with modern furniture,"3 beds,  · 3 bedrooms",Nov 12 – 17,,4.88 (69)
/rooms/53056862?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1276166643&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746606_%2FAX9EPNQ%2BB4FkWQ8&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Luxury Chalet 2 Bedrooms and  Chalet with pool,Chalet in Riyadh,Luxury Chalet 2 Bedrooms and  Chalet with pool,"2 beds,  · 2 bedrooms",Nov 12 – 17,$379,4.59 (22)
/rooms/924656078162705346?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1686540793&check_in=2023-11-29&check_out=2023-12-04&source_impression_id=p3_1699746606_Kl4pa8x%2BMYtjEFUw&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,f9 cool apartment,Apartment in Jeddah,f9 cool apartment,"1 bed,  · 1 bedroom",Nov 29 – Dec 4,$57,4.9 (21)
/rooms/904913805718942275?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1665679678&check_in=2023-11-20&check_out=2023-11-25&source_impression_id=p3_1699746606_szhoph8py7%2BDZgCV&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,Luxury two-story apartment with private pool (1),Apartment in Riyadh,Luxury two-story apartment with private pool (1),Dedicated workspace,Nov 20 – 25,,4.8 (5)
/rooms/973940057472690931?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1734131383&check_in=2023-11-24&check_out=2023-11-29&source_impression_id=p3_1699746606_fiOq9K8VjFd5AlSd&previous_page_section_name=1000&federated_search_id=b0686cdb-cbdd-4aa8-9cff-f75fce3169aa,"Quiet apartment 2 rooms, lounge and independent kitchen Q",Apartment in Riyadh,"Quiet apartment 2 rooms, lounge and independent kitchen Q","3 beds,  · 2 bedrooms",Nov 24 – 29,$115,5.0 (5)
/rooms/754180421101573251?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1680065366&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746607_%2BvRGerTy0Lh1xHLH&previous_page_section_name=1000&federated_search_id=0acf33f0-f8fd-43fc-8ef3-621ccf1cdb5b,Chalet with children's pool and water games near the beach,Tiny home in Makkah Province,Chalet with children's pool and water games near the beach,Dedicated workspace,Nov 12 – 17,,5.0 (10)
/rooms/905855250643528370?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1666628973&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746607_CSo1LKx8xduJB5em&previous_page_section_name=1000&federated_search_id=0acf33f0-f8fd-43fc-8ef3-621ccf1cdb5b,F203 Nice APT in great location,Apartment in Jeddah,F203 Nice APT in great location,"3 beds,  · 2 bedrooms",Nov 12 – 17,$74,4.8 (25)
/rooms/917386166259822420?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1681377895&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746607_%2Bl%2BFZqBzpqSiSQM2&previous_page_section_name=1000&federated_search_id=0acf33f0-f8fd-43fc-8ef3-621ccf1cdb5b,Sky Taawun | Sky Collaboration,Apartment in Riyadh,Sky Taawun | Sky Collaboration,"3 beds,  · 3 bedrooms",Nov 12 – 17,$227,4.93 (15)
/rooms/48768669?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1149641105&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746607_LOJusIIz%2B4nBKSUP&previous_page_section_name=1000&federated_search_id=0acf33f0-f8fd-43fc-8ef3-621ccf1cdb5b,Luxury Villa / Chalet for rent,Villa in Jeddah,Luxury Villa / Chalet for rent,"2 beds,  · 2 bedrooms",Nov 12 – 17,$136,4.64 (36)
/rooms/944258239976529534?adults=4&category_tag=Tag%3A8535&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1709885551&check_in=2023-11-18&check_out=2023-11-23&source_impression_id=p3_1699746607_AFz8GW%2FY0%2B%2FHk9tx&previous_page_section_name=1000&federated_search_id=0acf33f0-f8fd-43fc-8ef3-621ccf1cdb5b,"ARC-01: Spacious 2-BR aprt @MKH, 2min bus stop",Apartment in Mecca,"ARC-01: Spacious 2-BR aprt @MKH, 2min bus stop",Dedicated workspace,Nov 18 – 23,$77,4.33 (9)
/rooms/788354844873995691?adults=4&category_tag=Tag%3A8528&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1659900851&check_in=2023-11-26&check_out=2023-12-01&source_impression_id=p3_1699746607_OGrejL7YDJAhcT2D&previous_page_section_name=1000&federated_search_id=0acf33f0-f8fd-43fc-8ef3-621ccf1cdb5b,Dar Haifa - Oasis 4BD Apartment + Terrace,Home in Al Ula,Dar Haifa - Oasis 4BD Apartment + Terrace,"4 beds,  · 4 bedrooms",Nov 26 – Dec 1,,4.81 (21)
/rooms/777692201461521767?adults=4&category_tag=Tag%3A677&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1609094633&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1699746607_GWemPIMxaSC3l61b&previous_page_section_name=1000&federated_search_id=0acf33f0-f8fd-43fc-8ef3-621ccf1cdb5b,Chalet Vera Quiet Pool and Pool Trees Privacy,Holiday park in Medina,Chalet Vera Quiet Pool and Pool Trees Privacy,"2 beds,  · 2 bedrooms",Nov 12 – 17,,4.93 (15)
